Task,Code
initializing list  ,"test_list = [""Gfg"", ""best"", ""geeks""] 
c=sorted(test_dict.values(),reverse=True)
for key,value in test_dict.items():
    if key in test_list and value in c[0:2]:
       print(key)

#55 write a python program to extract  N largest dictionaries keys and print it

test_dict = {6 : 2, 8: 9, 3: 9, 10: 8}"
initializing N  ,"N = 4
  
res = []"
write a python program to extract N largest dictionaries keys  and print it,"for key, val in sorted(test_dict.items(), key = lambda x: x[0], reverse = True)[:N]: 
    res.append(key)"
printing result  ,"print(""Top N keys are: "" + str(res))


#56 write a python program to print a  Dictionary Keys whose Values summation equals K

test_dict = {""Gfg"" : 3, ""is"" : 5, ""Best"" : 9, ""for"" : 8, ""Geeks"" : 10}"
printing original dictionary ,"print(""The original dictionary is : "" + str(test_dict))"
initializing K  ,"K = 14
l=[]
s=list(test_dict.values())
v=list(test_dict.keys())
for i in range(0,len(s)):
    for j in range(i+1,len(s)-1):
        if s[i]+s[j] == K:
           #print((i,j)) 
           print([v[i],v[j]]) 

#57 write a python program  to add prefix to each key name in dictionary and print it

test_dict = {'Gfg' : 6, 'is' : 7, 'best' : 9, 'for' : 8, 'geeks' : 11}"
initializing prefix  ,"temp = ""Pro""

d={}
for key,value in test_dict.items():
    d.update({temp+key:value})
print(d)


#58 write a python program to extract Kth index elements from Dictionary Value list and print it

test_dict = {""Gfg"" : [4, 7, 5], ""Best"" : [8, 6, 7], ""is"" : [9, 3, 8]}"
printing original dictionary ,"print(""The original dictionary is : "" + str(test_dict))"
initializing K  ,"K = 1

s=[]
for key,value in test_dict.items():
    s.append(value[K])
print(s)    


#59 write a python program to  remove digits from Dictionary String Values List

import re"
initializing dictionary ,"test_dict = {'Gfg' : [""G4G is Best 4"", ""4 ALL geeks""], 
             'is' : [""5 6 Good""],  
             'best' : [""Gfg Heaven"", ""for 7 CS""]}"
printing original dictionary ,"print(""The original dictionary is : "" + str(test_dict))"
using dictionary comprehension to go through all keys ,"res = {key: [re.sub('\d', '', ele) for ele in val] 
       for key, val in test_dict.items()}"
printing result  ,"print(""The filtered dictionary : "" + str(res))  

#60 write a program to Test for Even values dictionary values lists and print it

test_dict = {""Gfg"" : [6, 7, 3],  
             ""is"" :  [8, 10, 12, 16],  
             ""Best"" : [10, 16, 14, 6]} 
  
  
res = dict() 
for sub in test_dict: 
    flag = 1"
checking for even elements ,"for ele in test_dict[sub]: 
        if ele % 2 != 0: 
            flag = 0
            break"
adding True if all Even elements ,res[sub] = True if flag else False
printing result  ,"print(""The computed dictionary : "" + str(res))

#61 write a program to sort Dictionary by Values and Keys and print it

test_dict = {""Gfg"" : 1, ""is"" :  3, ""Best"" : 2, ""for"" : 3, ""Geeks"" : 2}"
printing original dictionary ,"print(""The original dictionary is : "" + str(test_dict))"
"- sign for descended values, omit if low-high sorting required ","res = {val[0] : val[1] for val in sorted(test_dict.items(), key = lambda x: (-x[1],x[0]))}"
printing result  ,"print(""Sorted dictionary : "" + str(res))


#62 write a program to concatenate Ranged Values in String list and print it

test_list = [""abGFGcs"", ""cdforef"", ""asalloi""]"
initializing range ,"i, j = 2, 5
r=''
for z in test_list:
    r += z[i:j] 
print(r)

#63 write a program to replace dictionary value from other dictionary and print it


test_dict = {""Gfg"" : 5, ""is"" : 8, ""Best"" : 10, ""for"" : 8, ""Geeks"" : 9}"
printing original dictionary ,"print(""The original dictionary is : "" + str(test_dict))"
initializing updict ,"updict = {""Gfg""  : 10, ""Best"" : 17} 
d={}
for key in test_dict.keys():
     if key in updict:
        d.update({key:updict[key]})
     else:
        d.update({key:test_dict[key]})
print(d)       


#64 write a program  to convert string to dictionary and print it"
Python implementation of converting ,
a string into a dictionary ,
initialising string  ,"str = "" Jan = January; Feb = February; Mar = March"""
generates key:value pair for each item ,"dictionary = dict(subString.split(""="") for subString in str.split("";""))"
printing the generated dictionary ,"print(dictionary) 

#65 write a python program to extract item with Maximum Tuple Value

test_dict = {'gfg' : (4, 6), 
             'is' : (7, 8), 
             'best' : (8, 2)}"
initializing tuple index  ,
0 based indexing ,tup_idx = 1
Extract Item with Maximum Tuple Value ,
Using max() + lambda ,"res = max(test_dict.items(), key = lambda ele: ele[1][tup_idx])"
printing result  ,"print(""The extracted maximum element item : "" + str(res)) 


#66 write a python program  to Remove dictionary Key Words and print it

test_str = 'gfg is best for geeks'"
printing original string ,"print(""The original string is : "" + str(test_str))"
initializing Dictionary ,"test_dict = {'geeks' : 1, 'best': 6} 
l=test_str.split()
print(l)
s=''
for i in l:
    if i in test_dict:
       l.remove(i)
print("" "".join(i for i in l))


#67 write a python program to group Strings on Kth character and print it

test_list = [""gfg"", ""is"", ""best"", ""for"", ""geeks""]"
printing original list ,"print(""The original list is : "" + str(test_list))"
initializing K  ,"K = 2
d={}
for i in test_list:
    d.update({i[K-1]:[i]})
print(d) 


#68 write a python program to convert List of Dictionaries to List of Lists and print it 

test_list = [{'Nikhil' : 17, 'Akash' : 18, 'Akshat' : 20}, 
             {'Nikhil' : 21, 'Akash' : 30, 'Akshat' : 10}, 
             {'Nikhil' : 31, 'Akash' : 12, 'Akshat' : 19}] 

s=[]
count=0
for i in test_list:
    if count<1: 
       s.append(list(i.keys()))
    s.append(list(i.values()))
    count+=1
print(s) 

#69 write a python program for printing custom order dictionary"
initializing dictionary ,"test_dict = {'is' : 2, 'for' : 4, 'gfg' : 1, 'best' : 3, 'geeks' : 5}"
initializing order ,"ord_list = ['gfg', 'is', 'best', 'for', 'geeks'] 
 
c={}
for i in ord_list:
    if i in test_dict:
       c.update({i:test_dict[i]})
print(c) 


#70 write a python program to extract Numerical Dictionary values and print it

test_dict = {""Gfg"" : [""34"", ""45"", 'geeks'], 'is' : [""875"", None, ""15""], 'best' : [""98"", 'abc', '12k']}"
printing original dictionary ,"res = [] 
for a, b, c in zip(*test_dict.values()):
    
    if a.isdigit() : 
        res.append((a, b, c))"
printing result  ,"print(""The Numerical values : "" + str(res)) 


#71 write a python program to count dictionaries in a list in Python and print it

test_list = [10, {'gfg' : 1}, {'ide' : 2, 'code' : 3}, 20]"
printing original list ,"print(""The original list is : "" + str(test_list)) 
count=0
for i in test_list:
    if isinstance(i,dict):
       count=count+1
print(count)    


#72 write a python program to Filter and Double keys greater than K and print it

test_dict = {'Gfg' : 4, 'is' : 2, 'best': 3, 'for' : 6, 'geeks' : 1}"
printing original dictionary ,"print(""The original dictionary : "" + str(test_dict)) 
d={}"
initializing K ,"K = 2
for keys,values in test_dict.items():
    if values >K:
       d.update({keys:2*values})
    else:
       d.update({keys:values})       
print(d)

#73 write a python program to Convert Frequency dictionary to list and print it

test_dict = {'gfg' : 4, 'is' : 2, 'best' : 5}"
printing original dictionary ,"print(""The original dictionary : "" + str(test_dict))
s=[]
for key,value in test_dict.items():
    for i in range(0,value):
        s.append(key)
print(s)

#74 write a python program to assign list items to Dictionary and print it 


test_list = [{'Gfg' :  1, 'id' : 2 },  
             {'Gfg' :  4, 'id' : 4 }]"
initializing key  ,new_key = 'best'
initializing list  ,"add_list = [12, 2]"
Assign list items to Dictionary ,
Using zip() + loop ,"res = [] 
for sub, val in zip(test_list, add_list): 
    sub[new_key] = val 
    res.append(sub)"
printing result  ,"print(""The modified dictionary : "" + str(res))


#75 write a python program to test Boolean Value of Dictionary and print it


test_dict = {'gfg' : True, 'is' : False, 'best' : True}"
printing original dictionary ,"print(""The original dictionary is : "" + str(test_dict))

res=True
for key,value in test_dict.items():
    if value==False:
       res=False
       break
print(f""Dictionary is {res}"")

#76 write a python program  to print Dictionary values String Length Summation 

test_dict = {'gfg' : '2345', 
             'is' : 'abcde', 
             'best' : 'qwerty'}"
printing original dictionary ,"print(""The original dictionary is : "" + str(test_dict)) 
list1=list(test_dict.values())
print(list1)
s="""".join(i for i in list1)
print(f'Summation of string values is {len(s)}')


#77 write a python program to printlist of  Keys with shortest length lists in dictionary

test_dict = {'gfg' : [4, 5], 
             'is' : [9, 7, 3, 10], 
             'best' : [11, 34], 
             'for' : [6, 8, 2],  
             'geeks' : [12, 24]}"
printing original dictionary ,"print(""The original dictionary is : "" + str(test_dict)) 
s=[]
a=0
q=[]
for key,value in test_dict.items():
    s.append(len(value))
    q.append(key)
l=[]
print(s)
print(q) 
for k,z in zip(q,s):
      if z==min(s):
         l.append(k)
print(l) 


#78 write a python program to decrement Dictionary value by K

test_dict = {'gfg' : 1, 'is' : 2, 'for' : 4, 'CS' : 5}"
printing original dictionary ,"print(""The original dictionary : "" + str(test_dict))"
Initialize K  ,"K = 5

for key,value in test_dict.items():
    test_dict.update({key:value-K})
print(test_dict) 


#79 write a python program to find Common items among dictionaries and print it 

test_dict1 = {'gfg' : 1, 'is' : 2, 'best' : 3} 
test_dict2 = {'gfg' : 1, 'is' : 2, 'good' : 3}"
printing original dictionaries ,"print(""The original dictionary 1 is : "" + str(test_dict1)) 
print(""The original dictionary 2 is : "" + str(test_dict2))

count=0
for key1,value1 in test_dict1.items():
    for key2,value2 in test_dict2.items():
        if key1==key2 and value1==value2:
           count=count+1
print(count)

#80 write a python program to print Nth largest values in dictionary









#81 write a python program to print consecutive Kth column Difference in Tuple List"
Consecutive Kth column Difference in Tuple List,"test_list = [(5, 4, 2), (1, 3, 4), (5, 7, 8), (7, 4, 3)]"
printing original list ,"print(""The original list is : "" + str(test_list))"
initializing K  ,"K = 1 
s=[]
for i in range(0,len(test_list)-1):
    s.append(abs(test_list[i][K]-test_list[i+1][K]))
print(s)


#82 write a python program to find Tuples with positive elements in List of tuples and print it

test_list = [(4, 5, 9), (-3, 2, 3), (-3, 5, 6), (4, 6)]"
printing original list ,"print(""The original list is : "" + str(test_list)) 

#[all(i) for i in test_list if i>0]

result = [i for i in test_list if all(ele >= 0 for ele in i)]"
printing result ,"print(""Positive elements Tuples : "" + str(result))  


#83 write a python program to remove given character from first element of Tuple and print it

test_list = [(""GF ! g !"", 5), (""! i ! s"", 4), (""best !!"", 10)]"
printing original list ,"print(""The original list is : "" + str(test_list))"
initializing K  ,"K = ""!"""
replace with empty string removes the desired char. ,"res = [(sub[0].replace(K, ''), sub[1]) for sub in test_list]"
printing result  ,"print(""The filtered tuples : "" + str(res)) 

#84  write a python program remove particular data type Elements from Tuple and print it

test_tuple = (4, 5, 'Gfg', 7.7, 'Best')"
printing original tuple ,"print(""The original tuple : "" + str(test_tuple))"
initializing data type ,"a=tuple()
data_type = int 
for i in test_tuple:
    if not isinstance(i,data_type):
       a=a+(i,)
print(list(a))

#85 write a python program to print rear element extraction from list of tuples records

test_list = [(1, 'Rash', 21), (2, 'Varsha', 20), (3, 'Kil', 19)]"
printing original list  ,"print (""The original list is : "" + str(test_list))
s=[]
for i in test_list:
    l=len(i)
    s.append(i[l-1])

print(s)

#86 write a python program to raise elements of tuple as power to another tuple and print it

test_tup1 = (10, 4, 5, 6)  
test_tup2 = (5, 6, 7, 5) 
s=tuple()"
printing original tuples  ,"print(""The original tuple 1 : "" + str(test_tup1))  
print(""The original tuple 2 : "" + str(test_tup2))

for i in range(0,len(test_tup1)):
    s+= (test_tup1[i] ** test_tup2[i],)
print(s)


#87 write a python program to Count the elements till first tuple and print it

test_tup = (1, 5, 7, (4, 6), 10)"
printing original tuple ,"print(""The original tuple : "" + str(test_tup))
count=0
for i in test_tup:
    if isinstance(i,tuple):
       
       break
    count=count+1
print(f'count of element till first tuple is {count}')

#88 write a python program to print Dissimilar Elements in Tuples


test_tup1 = (3, 4, 5, 6) 
test_tup2 = (5, 7, 4, 10)"
printing original tuples ,"print(""The original tuple 1 : "" + str(test_tup1)) 
print(""The original tuple 2 : "" + str(test_tup2))
c=tuple()
c=tuple(set(test_tup1) ^ set(test_tup2))
print(f'Dissimilar element tuple is {c}')


#89 write a python program to flatten Tuples List to String and print it

test_list = [('1', '4', '6'), ('5', '8'), ('2', '9'), ('1', '10')]"
printing original tuples list ,"print(""The original list : "" + str(test_list)) 
s=''
for i in test_list:
    for j in i:
        s+=' '+j+' '
print(f' string after flattening is {s}')

#90 write a python program to filter tuples according to list element presence and print it

test_list = [(1, 4, 6), (5, 8), (2, 9), (1, 10)] 
s=[]"
initialize target list  ,"tar_list = [6, 10] 

for i in test_list:
    for j in i:
        #print(j)
        if j in tar_list:
           #print(j)
           s.append(i)
print(s)         


#91 write a python program to concatenate tuple and print it

test_tup1 = (1, 3, 5) 
test_tup2 = (4, 6)"
printing original tuples ,"print(""The original tuple 1 : "" + str(test_tup1)) 
print(""The original tuple 2 : "" + str(test_tup2)) 
c=test_tup1+test_tup2
print(c)

#92 write a python program to sort list under tuples and print it 

test_tup = ([7, 5, 4], [8, 2, 4], [0, 7, 5])"
printing original tuple ,"print(""The original tuple is : "" + str(test_tup)) 
s=tuple(sorted([j for j in i],reverse=False ) for i in test_tup)
print(f'the sorted list inside tuple is {s}')

#93 write a  python program for  removing strings from tuple and printing it

test_list = [('Geeks', 1, 2), ('for', 4, 'Geeks'), (45, 'good')]"
printing original list ,"print(""The original list : "" + str(test_list)) 

s=[]
for i in test_list:
    t=tuple()
    for j in i:
        if not isinstance(j,str):
           t+=(j,)
    s.append(t)       
print(f'List after removing string from tuple is {s}')

#94 write a program to remove matching tuples and print it

test_list1 = [('Early', 'morning'), ('is','good'), ('for', 'Health')] 
test_list2 = [('Early', 'morning'), ('is','good')] 

l=[]
for i in range(0,len(test_list1)):
    for j in range(0,len(test_list2)):
        if test_list1[i]  not in test_list2:
           #continue
           l.append(test_list1[i])
           break
print(l) 

#95  write a program to Split tuple into groups of n and print it

ini_tuple = (1, 2, 3, 4, 8, 12, 3, 34, 
             67, 45, 1, 1, 43, 65, 9, 10)
n=4
N=0
s=tuple()
#t=tuple()
for i in range(0,len(ini_tuple)//n):
    t=tuple()
    for j in range(N,N+n):
        #print(ini_tuple[j])
        t+=(ini_tuple[j],)
        
    N=N+n
    s+=(t,)    
print(s)

#96 write a python program to convert  list of tuples into digits and print it



lst = [(11, 100), (22, 200), (33, 300), (44, 400), (88, 800)]
a=''
for i in lst:
    for j in i:
        a+=str(j)
print(list(set(a)))

#97 write a python program to Join tuple elements in a list and print it

test_list = [('geeks', 'for', 'geeks'), 
             ('computer', 'science', 'portal')]"
printing original list ,"print (""The original list is : "" + str(test_list)) 
l=[]
#s=''
for i in test_list:
    s=''
    for j in i:
        s+=j+' '
    l.append(s)
print(l)    

#98 write a python program to  count the elements in a list until an element is a Tuple  and print it

li = [4, 5, 6, 10, (1, 2, 3), 11, 2, 4]
count=0
for i in li:
    if  isinstance(i,tuple):
        break
    count=count+1
print(f'count of element till tuple is encountered {count}')

#99 write a python program  to get maximum of each key Dictionary List and print it

test_list = [{""Gfg"": 8, ""is"": 1, ""Best"": 9}, 
             {""Gfg"": 2, ""is"": 9, ""Best"": 1}, 
             {""Gfg"": 5, ""is"": 10, ""Best"": 7}]"
printing original list ,"print(""The original list is : "" + str(test_list)) 
  
  
res = {} 
for i in test_list: 
    for key, value in i.items():"
checking for key presence and updating max ,"if key in res: 
            res[key] = max(res[key], value) 
        else: 
            res[key] = value"
printing result ,"print(""All keys maximum : "" + str(res))

#100 write a python program to extract Keys with specific Value Type

test_dict = {'gfg': 2, 'is': 'hello', 'best': 2, 'for': {'1': 3}, 'geeks': 4}"
printing original dictionary ,"print(""The original dictionary is : "" + str(test_dict))"
initializing type ,"targ_type = int
  
res = [] 
for key, val in test_dict.items():"
checking for values datatype ,"if isinstance(val, targ_type): 
        res.append(key)"
printing result ,"print(""The extracted keys : "" + str(res))"
Driver Code ,"if __name__ == '__main__': 
      
    string = ""SchoolofAI"""
Remove nth index element ,i = 5
Print the new string ,"print(remove(string, i))"
1,
write a python function to remove last element in the list,"def remove_last_element_list(list1):
    list1.pop()
    return list1"
2,
write a python function to find the add two numbers and then find the largest among sum and other two inputs,"def find_the_largest(num1, num2):
    sum_ = num1+num2
    if num1 >= sum_ and num1 >= num2:
        return num1
    elif num2 >= sum_ and num2 >= num1:
        return num2
    else:
        return sum_"
3 ,
"write a function to calculate the area of polygon given the number of edges, circumradius","import math
def area_of_polygon(number_of_edges, circumradius):
        return number_of_edges * 2 * circumradius * math.sin(180/number_of_edges) * circumradius * math.cos(180/number_of_edges) * 0.5"
4,
"write a function to calculate the apothem of polygon given the number of edges, circumradius","import math
def apothem_of_polygon(number_of_edges, circumradius):
    return circumradius * math.cos(180/number_of_edges)"
5,
"write a function which creates a deck of cards, given the list of suits and values","def create_deck_of_cards(values: list, suits: list):
    card_deck = []
    for i in range(52):
        tup = (values[i], suits[i])
        card_deck.append(tup)
    return card_deck"
6,
"write a function which converts temperature values, from Celsius(C) to Fahreinheit(F) and from Fahreinheit(F) to Celsius(C) \",
 given the temperature value and its unit,"def temp_converter(value, unit):
    if unit =='F' and value in range(32, 212):
        converts = (value - 32) * 5.0/9.0
        return converts
    elif unit =='C' and value in range(0,100):
        converts = (9.0/5.0) * value + 32
        return converts
    else:
        raise ValueError"
7,
write a function which takes in a list and a number as an input and returns a list with each list element raised to power of that number ,"def powered_list(a_list, a_number):
    a_list = [math.pow(a_number) for i in a_list]  
    return a_list"
8 ,
write a function to execute a string containing Python code,"def execute_python_code(a_string):
    return exec(a_string)"
9 ,
write a function to multiply all the numbers in a list,"def multiply_all(a_list):
    product = 1
    for i in a_list:
        product *= i
    return product"
10,
" write a function to slice a tuple, given an input tuple and start, stop, step=1","def slice_a_tuple(a_tuple, start, stop, step=1):
    return a_tuple[start:stop:step]"
11,
write a function to check if a list is empty or not,"def list_is_empty(a_list):
    if not a_list:
        return True
    else:
        return False"
12,
Write a Python function to convert a string list to a normal list type,"import ast
def convert_string_to_list(str_lst):
    return ast.literal_eval(str_lst)"
13,
Write a Python function to extend a list without append. ,"def extend_list_without_append(list1, list2):
    return list1.extend(list2)"
14,
 Write a Python function to find the median among three given numbers,"def find_the_median(x,y,z):
    list_ = sorted([x,y,z])
    return list_[1]"
15,
Write a python function to remove a newline in Python,"def remove_newline(string):
    return string.strip()"
16,
Write a python function to convert a string to a list,"def convert_str_to_list(string):
    return string.split(' ')"
17,
 Write a python function to remove spaces from a given string,"def remove_spaces_from_string(string):
    return string.replace(' ', '')"
18,
Write a python function to capitalize first and last letters of each word of a given string,"capitalize_both_ends = lambda x: x[0].upper() + x[1:-1] + x[-1].upper()

def capitalize_first_and_last(string):
    string = string.strip().split()
    new_string = [capitalize_both_ends(word) for word in string]
    return new_string"
19,
Write a python function to remove duplicate words from a given string,"def remove_duplicate_words(string):
    string = string.strip().split()
    return ' '.join(set(string))"
20 ,
Write a python function to calculate number of days between two dates using datetime module,"from datetime import date
def day_diff(date1, date2):
    diff = date1 - date2
    return diff.days"
21,
Write a python function to get the volume of a sphere with radius as input,"def sphere_volume(radius):
    volume =  4.0/3.0 * 3.14 * radius ** 3
    return volume"
22,
Write a Python function to check whether the input letter is a vowel or not,"def check_vowel_or_not(letter):
    result =  str(letter) in ""aeiou""
    return result"
23,
Write a Python function to get OS name & platform using os & platform library,"import os
import platform
def get_info():
    return f'OS: {os.name}\n Platform: {platform.system}'"
24,
Write a Python program to print out the number of CPUs working behind the scenes using multiprocessing library,"import multiprocessing
print(multiprocessing.cpu_count())"
25,
Write a Python program to calculate the hypotenuse of a right angled triangle using math library,"from math import sqrt
print(""Input lengths of shorter triangle sides:"")
def hypotenuse(side1, side2):
    hyp = sqrt(side1**2 + side2**2)
    return hyp"
26,
Write a Python function to convert height (in feet and inches) to centimeters,"def height_converter(h_ft, h_inch):
    h_inch += h_ft * 12
    h_cm = round(h_inch * 2.54, 1)
    return h_cm"
27,
" Write a Python function to convert the distance (in feet) to inches, yards, and miles.","def distance_converter(d_ft):
    d_inches = d_ft  * 12
    d_yards = d_ft  / 3.0
    d_miles = d_ft  / 5280.0
    return f""Distance in Inches:{d_inches}\nDistance in Yards :{d_yards}\nDistance in Miles :{d_miles}"""
28,
 Write a Python program to get the copyright information using sys module,"import sys
print(""\nPython Copyright Information"")
print(sys.copyright)
print()"
29,
Write a Python program to find the available built-in modules using sys and textwrap modules,"import sys
import textwrap
module_name = ', '.join(sorted(sys.builtin_module_names))
print(textwrap.fill(module_name, width=70))"
30,
Write a Python program to get the current username using getpass library,"import getpass
print(getpass.getuser())"
31,
Write a Python program to accept a filename from the user and print the extension of that,"def filename_extension(file):
    f_extns = file.split(""."")
    return f""The extension of the file is :{repr(f_extns[-1])}"""
32,
"Write a Python function that calculates the area of parallelogram and takes in base, height as input","def area_shape(base, height, shape):
    return {'triangle': 0.5*base*height, 'parallelogram': base*height}[shape]"
33,
Write a Python function to reverse a string if it's length is a multiple of 4.,"def reverse_string(str1):
    if len(str1) % 4 == 0:
       return ''.join(reversed(str1))
    return str1"
34,
Write a Python function to reverse words in a string.,"def reverse_string_words(text):
    for line in text.split('\n'):
        return(' '.join(line.split()[::-1]))"
35,
Write a Python program to count and display the vowels of a given text.,"def vowel(text):
    vowels = ""aeiuoAEIOU""
    main_list = [letter for letter in text if letter in vowels]
    return len(main_list), main_list"
36,
Write a Python program to find the first repeated character in a given string,"def first_repeated_char(str1):
    for index,c in enumerate(str1):
        if str1[:index+1].count(c) > 1:
            return c 
    return ""None"""
37,
Write a Python program to find the first repeated word in a given string.,"def first_repeated_word(str1):
    temp = set()
    for word in str1.split():
        if word in temp:
            return word
        else:
            temp.add(word)
    return 'None'"
38,
Write a Python program to remove spaces from a given string,"def remove_spaces(str1):
    str1 = str1.replace(' ','')
    return str1"
39,
Write a Python program to remove spaces from a given string using set,"def remove_duplicate(str1):
    list_str = str1.split()
    return """".join(set(list_str))"
40,
Write a Python function that will accept the base and height of a triangle and compute the area.,"def triangle_area(base, height):
    area = base*height/2
    return area"
41,
Write a Python function to create all possible permutations from a given collection of distinct numbers.,"def permute(nums):
    result_perms = [[]]
    for n in nums:
        new_perms = []
        for perm in result_perms:
            for i in range(len(perm)+1):
                new_perms.append(perm[:i] + [n] + perm[i:])
                result_perms = new_perms
    return result_perms"
42,
Write a Python program to print the calendar of a given month and year,"import calendar
y = int(input(""Input the year : ""))
m = int(input(""Input the month : ""))
print(calendar.month(y, m))"
43,
Write a python function to get the volume of a cube with side as input,"def cube_volume(side):
    volume = side ** 3
    return volume"
44,
Write a python function to get the volume of a prism with base area & height as input,"def prism_volume(base_area, height):
    volume = base_area * height
    return volume"
45,
Write a python function to get the volume of a cylinder with radius & height as input,"def cylinder_volume(radius, height):
    volume = 3.14 * (radius ** 2) * height
    return volume"
46,
 Write a python function to get the volume of a cone with radius & vertical height as input,"def cone_volume(radius, height):
    volume = 1/3 * 3.14 * (radius ** 2) * height
    return volume"
47 ,
 Write a python function to get the volume of a pyramid with base area & vertical height as input,"def pyramid_volume(base_area, height):
    volume = 1/3 * base_area * height
    return volume"
48 ,
Write a python function to get the surface area of a cube with side as input,"def cube_surface_area(side):
    surface_area = 6 * side ** 2
    return surface_area"
49,
"Write a python function to get the volume of a rectangular prism with side as length, width and height as input","def rec_prism_volume(length, width, height):
    volume = length * width * height
    return volume"
50,
"Write a python function to get the surface_area of a rectangular prism with side as length, width and height as input","def rec_prism_surface_area(length, width, height):
    surface_area = 2*((length * width) + (width * height) + (height * length))
    return surface_area"
51,
"Write a python function to get the surface_area of a prism with base area, base perimeter & height as input","def prism_surface_area(base_area, base_perimeter, height):
    surface_area = 2*base_area + (base_perimeter*height)
    return surface_area"
52,
Write a python function to get the surface_area of a cylinder with radius & height as input,"def cylinder_surface_area(radius, height):
    surface_area = 3.14 * (radius ** 2) + (2 * 3.14 * radius * height)
    return surface_area"
53,
 Write a python function to get the surface_area of a cone with radius & slant height as input,"def cone_surface_area(radius, slant_height):
    surface_area =  3.14 * (radius ** 2) + 3.14 * radius * slant_height
    return surface_area"
54,
 Write a python function to get the surface_area of a pyramid with base area & vertical height as input,"def pyramid_surface_area(base_area, height):
    surface_area = 1/3 * base_area * height
    return surface_area"
55,
" Write a python function to get the volume of a cuboid with length, breadth & height as input","def cuboid_volume(length, breadth, height):
    volume = length * breadth * height
    return volume"
56,
Write a python function to break a list into chunks of size N use generator,"my_list = ['one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight']"
Yield successive n-sized ,
chunks from l. ,"def divide_chunks(l, n):"
looping till length l ,"for i in range(0, len(l), n): 
		yield l[i:i + n]"
57,
"Write a python function to generate Lucas Numbers (2, 1, 3, 4, 7, 11, 18...)","def lucas_numbers(n):
    first, second = 2,1
    for _ in range(n):
        first, second = second, first+second
    return first"
58,
"Write a python function to generate Square Numbers (1, 4, 9, 16, 25...)","def square_numbers(n):
    for i in range(n):
        yield i ** 2"
59,
"Write a python function to generate Cube Numbers (1, 8, 27, 64, 125...)","def cube_numbers(n):
    for i in range(n):
        yield i **  3"
60,
"Write a python function to generate Triangular Number Series (1, 3, 6, 10, 15...)","def triangle_numbers(n):
    for i in range(n):
        yield int(i*(i+1)/2)"
61,
"Write a python function to generate  Euclid Number Series(2, 3, 7, 31, 211, 2311, 30031)","from math import sqrt
from itertools import count, islice

def is_prime(n):
    return n > 1 and all(n % i for i in islice(count(2), int(sqrt(n)-1)))

def euclid_numbers(n):
    product = 1
    if n > 3:
        for i in range(n):
            if is_prime(i):
                product = product * i
                yield product"
61,
Write a Python program to add a prefix text to all of the lines in a string.,"import textwrap
sample_text ='''
        Python is a widely used high-level, general-purpose, interpreted,
        dynamic programming language. Its design philosophy emphasizes
        code readability, and its syntax allows programmers to express
        concepts in fewer lines of code than possible in languages such
        as C++ or Java.
        '''
text_without_Indentation = textwrap.dedent(sample_text)
wrapped = textwrap.fill(text_without_Indentation, width=50)
#wrapped += '\n\nSecond paragraph after a blank line.'
final_result = textwrap.indent(wrapped, '> ')"
62,
Write a Python program to print the following floating numbers with no decimal places.,"x = 3.1415926
y = -12.9999
print(""\nOriginal Number: "", x)
print(""Formatted Number with no decimal places: ""+""{:.0f}"".format(x))
print(""Original Number: "", y)
print(""Formatted Number with no decimal places: ""+""{:.0f}"".format(y))"
63,
Write a Python program to append a list to the second list.,"list1 = [1, 2, 3, 0]
list2 = ['Red', 'Green', 'Black']
final_list = list1 + list2
print(final_list)"
64,
Write a Python program to create the colon of a tuple.,"from copy import deepcopy
#create a tuple
tuplex = (""HELLO"", 5, [], True) 
print(tuplex)
#make a copy of a tuple using deepcopy() function
tuplex_colon = deepcopy(tuplex)
tuplex_colon[2].append(50)


#65"
Write a Python program to find the repeated items of a tuple.,"tuplex = 2, 4, 5, 6, 2, 3, 4, 4, 7 
print(tuplex)
#return the number of times it appears in the tuple.
count = tuplex.count(4)
print(count)"
66,
Write a Python program to slice a tuple,"#create a tuple
tuplex = (2, 4, 3, 5, 4, 6, 7, 8, 6, 1)
#used tuple[start:stop] the start index is inclusive and the stop index
_slice = tuplex[3:5]"
67,
Write a Python program to reverse a tuple.,"#create a tuple
x = (""w3resource"")"
Reversed the tuple,y = reversed(x)
68,
Write a Python program to convert a list of tuples into a dictionary.,"#create a list
l = [(""x"", 1), (""x"", 2), (""x"", 3), (""y"", 1), (""y"", 2), (""z"", 1)]
d = {}
for a, b in l:
    d.setdefault(a, []).append(b)
print (d)"
69,
Write a Python program to check whether an element exists within a tuple.,"tuplex = (""w"", 3, ""r"", ""e"", ""s"", ""o"", ""u"", ""r"", ""c"", ""e"")
print(""e"" in tuplex)"
70,
Write a Python function to convert a list to a tuple.,"def convert_list_to_tuple(list_input):
    return tuple(list_input)"
71,
Write a Python function to unzip a list of tuples into individual lists,"def unzip_list_of_tuples(list_tuple):
    return list(zip(*l))"
72,
Write a Python program to convert a list of tuples into a dictionary.,"l = [(""x"", 1), (""x"", 2), (""x"", 3), (""y"", 1), (""y"", 2), (""z"", 1)]
d = {}
for a, b in l:
    d.setdefault(a, []).append(b)
print(d)"
73,
Write a Python function to clear a set.,"def clear_set(set_input):
    setp_copy = set_input.copy()
    setp_copy.clear()
    return setp_copy"
74,
